"code.source","code.target","Relationship","adjustment","group.id"
10111,15,"n:1","1992 to 1988",NA
10119,15,"n:1","1992 to 1988",NA
10120,15,"n:1","1992 to 1988",NA
10210,11,"n:1","1992 to 1988",NA
10290,11,"n:1","1992 to 1988",NA
10310,13,"n:1","1992 to 1988",NA
10391,13,"n:1","1992 to 1988",NA
10392,13,"n:1","1992 to 1988",NA
10410,12,"n:1","1992 to 1988",NA
10420,12,"n:1","1992 to 1988",NA
10511,14,"n:1","1992 to 1988",NA
10519,14,"n:1","1992 to 1988",NA
10591,14,"n:1","1992 to 1988",NA
10599,14,"n:1","1992 to 1988",NA
10600,19,"1:1","1992 to 1988",NA
20110,111,"n:1","1992 to 1988",NA
20120,111,"n:1","1992 to 1988",NA
20130,111,"n:1","1992 to 1988",NA
20210,112,"n:1","1992 to 1988",NA
20220,112,"n:1","1992 to 1988",NA
20230,112,"n:1","1992 to 1988",NA
20311,122,"n:1","1992 to 1988",NA
20312,122,"n:1","1992 to 1988",NA
20319,122,"n:1","1992 to 1988",NA
20321,122,"n:1","1992 to 1988",NA
20322,122,"n:1","1992 to 1988",NA
20329,122,"n:1","1992 to 1988",NA
20410,121,"n:1","1992 to 1988",NA
20421,121,"n:1","1992 to 1988",NA
20422,121,"n:1","1992 to 1988",NA
20423,121,"n:1","1992 to 1988",NA
20430,121,"n:1","1992 to 1988",NA
20441,121,"n:1","1992 to 1988",NA
20442,121,"n:1","1992 to 1988",NA
20443,121,"n:1","1992 to 1988",NA
20450,121,"n:1","1992 to 1988",NA
20500,124,"1:1","1992 to 1988",NA
20610,125,"n:1","1992 to 1988",NA
20621,125,"n:1","1992 to 1988",NA
20622,125,"n:1","1992 to 1988",NA
20629,125,"n:1","1992 to 1988",NA
20630,125,"n:1","1992 to 1988",NA
20641,125,"n:1","1992 to 1988",NA
20649,125,"n:1","1992 to 1988",NA
20680,125,"n:1","1992 to 1988",NA
20690,125,"n:1","1992 to 1988",NA
20710,123,"n:1","1992 to 1988",NA
20721,123,"n:1","1992 to 1988",NA
20722,123,"n:1","1992 to 1988",NA
20723,123,"n:1","1992 to 1988",NA
20731,123,"n:1","1992 to 1988",NA
20739,123,"n:1","1992 to 1988",NA
20741,123,"n:1","1992 to 1988",NA
20742,123,"n:1","1992 to 1988",NA
20743,123,"n:1","1992 to 1988",NA
20750,123,"n:1","1992 to 1988",NA
20810,129,"n:1","1992 to 1988",NA
20820,129,"n:1","1992 to 1988",NA
20890,129,"n:1","1992 to 1988",NA
20900,4113,"n:1","1992 to 1988",NA
21011,161,"n:1","1992 to 1988",NA
21012,161,"n:1","1992 to 1988",NA
21019,161,"n:1","1992 to 1988",NA
21020,168,"n:1","1992 to 1988",NA
21090,168,"n:1","1992 to 1988",NA
30110,341,"n:1","1992 to 1988",NA
30191,341,"n:1","1992 to 1988",NA
30192,341,"n:1","1992 to 1988",NA
30193,341,"n:1","1992 to 1988",NA
30199,341,"n:1","1992 to 1988",NA
30211,341,"n:1","1992 to 1988",NA
30212,341,"n:1","1992 to 1988",NA
30219,341,"n:1","1992 to 1988",NA
30221,341,"n:1","1992 to 1988",NA
30222,341,"n:1","1992 to 1988",NA
30223,341,"n:1","1992 to 1988",NA
30229,341,"n:1","1992 to 1988",NA
30231,341,"n:1","1992 to 1988",NA
30232,341,"n:1","1992 to 1988",NA
30233,341,"n:1","1992 to 1988",NA
30239,341,"n:1","1992 to 1988",NA
30240,341,"n:1","1992 to 1988",NA
30250,341,"n:1","1992 to 1988",NA
30261,341,"n:1","1992 to 1988",NA
30262,341,"n:1","1992 to 1988",NA
30263,341,"n:1","1992 to 1988",NA
30264,341,"n:1","1992 to 1988",NA
30265,341,"n:1","1992 to 1988",NA
30266,341,"n:1","1992 to 1988",NA
