"code.source","code.target","Relationship","adjustment","group.id"
10121,10121,"1:1","2022 to 2017",NA
10129,10129,"1:1","2022 to 2017",NA
10130,10130,"1:1","2022 to 2017",NA
10190,10190,"1:1","2022 to 2017",NA
10221,10221,"1:1","2022 to 2017",NA
10229,10229,"1:1","2022 to 2017",NA
10231,10231,"1:1","2022 to 2017",NA
10239,10239,"1:1","2022 to 2017",NA
10290,10290,"1:1","2022 to 2017",NA
10310,10310,"1:1","2022 to 2017",NA
10391,10391,"1:1","2022 to 2017",NA
10392,10392,"1:1","2022 to 2017",NA
10410,10410,"1:1","2022 to 2017",NA
10420,10420,"1:1","2022 to 2017",NA
10511,10511,"1:1","2022 to 2017",NA
10512,10512,"1:1","2022 to 2017",NA
10513,10513,"1:1","2022 to 2017",NA
10514,10514,"1:1","2022 to 2017",NA
10515,10515,"1:1","2022 to 2017",NA
10594,10594,"1:1","2022 to 2017",NA
10599,10599,"1:1","2022 to 2017",NA
10611,10611,"1:1","2022 to 2017",NA
10612,10612,"1:1","2022 to 2017",NA
10613,10613,"1:1","2022 to 2017",NA
10614,10614,"1:1","2022 to 2017",NA
10619,10619,"1:1","2022 to 2017",NA
10620,10620,"1:1","2022 to 2017",NA
10631,10631,"1:1","2022 to 2017",NA
10632,10632,"1:1","2022 to 2017",NA
10633,10633,"1:1","2022 to 2017",NA
10639,10639,"1:1","2022 to 2017",NA
10641,10641,"1:1","2022 to 2017",NA
10649,10649,"1:1","2022 to 2017",NA
10690,10690,"1:1","2022 to 2017",NA
20110,20110,"1:1","2022 to 2017",NA
20120,20120,"1:1","2022 to 2017",NA
20130,20130,"1:1","2022 to 2017",NA
20210,20210,"1:1","2022 to 2017",NA
20220,20220,"1:1","2022 to 2017",NA
20230,20230,"1:1","2022 to 2017",NA
20311,20311,"1:1","2022 to 2017",NA
20312,20312,"1:1","2022 to 2017",NA
20319,20319,"1:1","2022 to 2017",NA
20321,20321,"1:1","2022 to 2017",NA
20322,20322,"1:1","2022 to 2017",NA
20329,20329,"1:1","2022 to 2017",NA
20410,20410,"1:1","2022 to 2017",NA
20421,20421,"1:1","2022 to 2017",NA
20422,20422,"1:1","2022 to 2017",NA
20423,20423,"1:1","2022 to 2017",NA
20430,20430,"1:1","2022 to 2017",NA
20441,20441,"1:1","2022 to 2017",NA
20442,20442,"1:1","2022 to 2017",NA
20443,20443,"1:1","2022 to 2017",NA
20450,20450,"1:1","2022 to 2017",NA
20500,20500,"1:1","2022 to 2017",NA
20610,20610,"1:1","2022 to 2017",NA
20621,20621,"1:1","2022 to 2017",NA
20622,20622,"1:1","2022 to 2017",NA
20629,20629,"1:1","2022 to 2017",NA
20630,20630,"1:1","2022 to 2017",NA
20641,20641,"1:1","2022 to 2017",NA
20649,20649,"1:1","2022 to 2017",NA
20680,20680,"1:1","2022 to 2017",NA
20690,20690,"1:1","2022 to 2017",NA
20711,20711,"1:1","2022 to 2017",NA
20712,20712,"1:1","2022 to 2017",NA
20713,20713,"1:1","2022 to 2017",NA
20714,20714,"1:1","2022 to 2017",NA
20724,20724,"1:1","2022 to 2017",NA
20725,20725,"1:1","2022 to 2017",NA
20726,20726,"1:1","2022 to 2017",NA
20727,20727,"1:1","2022 to 2017",NA
20741,20741,"1:1","2022 to 2017",NA
20742,20742,"1:1","2022 to 2017",NA
20743,20743,"1:1","2022 to 2017",NA
20744,20744,"1:1","2022 to 2017",NA
20745,20745,"1:1","2022 to 2017",NA
20751,20751,"1:1","2022 to 2017",NA
20752,20752,"1:1","2022 to 2017",NA
20753,20753,"1:1","2022 to 2017",NA
20754,20754,"1:1","2022 to 2017",NA
20755,20755,"1:1","2022 to 2017",NA
20760,20760,"1:1","2022 to 2017",NA
20810,20810,"1:1","2022 to 2017",NA
20830,20830,"1:1","2022 to 2017",NA
20840,20840,"1:1","2022 to 2017",NA
20850,20850,"1:1","2022 to 2017",NA
20860,20860,"1:1","2022 to 2017",NA
20890,20890,"n:1","2022 to 2017",1
20910,20910,"1:1","2022 to 2017",NA
20990,20990,"1:1","2022 to 2017",NA
21011,21011,"1:1","2022 to 2017",NA
21012,21012,"1:1","2022 to 2017",NA
21019,21019,"1:1","2022 to 2017",NA
21020,21020,"1:1","2022 to 2017",NA
21091,21091,"1:1","2022 to 2017",NA
21092,21092,"1:1","2022 to 2017",NA
21093,21093,"1:1","2022 to 2017",NA
21099,21099,"n:1","2022 to 2017",1
30111,30111,"1:1","2022 to 2017",NA
30119,30119,"1:1","2022 to 2017",NA
30191,30191,"1:1","2022 to 2017",NA
30192,30192,"1:1","2022 to 2017",NA
30193,30193,"1:1","2022 to 2017",NA
30194,30194,"1:1","2022 to 2017",NA
30195,30195,"1:1","2022 to 2017",NA
30199,30199,"1:1","2022 to 2017",NA
30211,30211,"1:1","2022 to 2017",NA
30213,30213,"1:1","2022 to 2017",NA
30214,30214,"1:1","2022 to 2017",NA
30219,30219,"1:1","2022 to 2017",NA
30221,30221,"1:1","2022 to 2017",NA
30222,30222,"1:1","2022 to 2017",NA
30223,30223,"1:1","2022 to 2017",NA
