code.after,code.before,Relationship,adjustment
0011,0011,1:1,1988 to 1976
0012,0012,1:1,1988 to 1976
0013,0013,1:1,1988 to 1976
0014,0014,1:1,1988 to 1976
0015,0015,1:1,1988 to 1976
0019,0019,n:n,1988 to 1976
0019,9410,n:n,1988 to 1976
0111,0111,n:1,1988 to 1976
0112,0111,n:1,1988 to 1976
0121,0112,1:1,1988 to 1976
0122,0113,1:1,1988 to 1976
0123,0114,1:n,1988 to 1976
0123,0118,n:n,1988 to 1976
0124,0115,1:1,1988 to 1976
0125,0116,1:1,1988 to 1976
0129,0118,n:n,1988 to 1976
0129,0341,n:n,1988 to 1976
0161,0121,1:1,1988 to 1976
0168,0129,n:n,1988 to 1976
0168,0118,n:n,1988 to 1976
0168,0149,n:n,1988 to 1976
0171,0141,1:n,1988 to 1976
0171,0980,n:n,1988 to 1976
0172,0142,1:1,1988 to 1976
0173,0149,n:1,1988 to 1976
0174,0149,n:1,1988 to 1976
0175,0149,n:n,1988 to 1976
0175,0980,n:n,1988 to 1976
0176,0149,n:n,1988 to 1976
0176,0980,n:n,1988 to 1976
0179,0149,n:n,1988 to 1976
0179,0980,n:n,1988 to 1976
0221,0223,n:n,1988 to 1976
0221,0224,n:n,1988 to 1976
0222,0224,n:1,1988 to 1976
0223,0223,n:n,1988 to 1976
0223,0224,n:n,1988 to 1976
0223,0730,n:n,1988 to 1976
0223,0980,n:n,1988 to 1976
0223,1110,n:n,1988 to 1976
0224,0223,n:n,1988 to 1976
0224,0224,n:n,1988 to 1976
0230,0230,1:1,1988 to 1976
0241,0240,n:1,1988 to 1976
0242,0240,n:1,1988 to 1976
0243,0240,n:1,1988 to 1976
0249,0240,n:1,1988 to 1976
0251,0251,1:1,1988 to 1976
0252,0252,1:1,1988 to 1976
0253,5922,n:1,1988 to 1976
0341,0341,n:1,1988 to 1976
0342,0342,n:n,1988 to 1976
0342,0341,n:n,1988 to 1976
0344,0344,1:1,1988 to 1976
0345,0341,n:n,1988 to 1976
0345,0343,1:n,1988 to 1976
0345,0342,n:n,1988 to 1976
0351,0350,n:1,1988 to 1976
0352,0350,n:1,1988 to 1976
0353,0350,n:1,1988 to 1976
0354,0350,n:1,1988 to 1976
0355,0350,n:1,1988 to 1976
0361,0360,n:1,1988 to 1976
0362,0360,n:n,1988 to 1976
0362,0372,n:n,1988 to 1976
0363,0360,n:n,1988 to 1976
0363,0019,n:n,1988 to 1976
0363,0118,n:n,1988 to 1976
0363,9410,n:n,1988 to 1976
0363,0129,n:n,1988 to 1976
0371,0371,n:n,1988 to 1976
0371,0980,n:n,1988 to 1976
0372,0372,n:n,1988 to 1976
0372,0980,n:n,1988 to 1976
0372,0149,n:n,1988 to 1976
0411,0411,1:1,1988 to 1976
0412,0412,1:1,1988 to 1976
0421,0421,n:1,1988 to 1976
0422,0421,n:1,1988 to 1976
0423,0422,1:1,1988 to 1976
0430,0430,1:1,1988 to 1976
0441,0440,n:1,1988 to 1976
0449,0440,n:1,1988 to 1976
0451,0451,1:1,1988 to 1976
0452,0452,1:1,1988 to 1976
0453,0459,n:1,1988 to 1976
0459,0459,n:1,1988 to 1976
0461,0460,n:1,1988 to 1976
0462,0460,n:1,1988 to 1976
0471,0470,n:1,1988 to 1976
0472,0470,n:1,1988 to 1976
0481,0481,1:n,1988 to 1976
0481,0730,n:n,1988 to 1976
0481,0980,n:n,1988 to 1976
0482,0482,1:1,1988 to 1976
0483,0483,n:1,1988 to 1976
0484,0484,1:n,1988 to 1976
0484,0730,n:n,1988 to 1976
0485,0488,n:n,1988 to 1976
0485,0730,n:n,1988 to 1976
0485,0980,n:n,1988 to 1976
0541,0541,1:1,1988 to 1976
0542,0542,1:1,1988 to 1976
0544,0544,1:1,1988 to 1976
0545,0545,1:n,1988 to 1976
0545,0440,n:n,1988 to 1976
0545,0751,n:n,1988 to 1976
0546,0980,n:n,1988 to 1976
0546,0546,n:n,1988 to 1976
0547,0546,n:n,1988 to 1976
0547,0565,n:n,1988 to 1976
0547,0751,n:n,1988 to 1976
0547,0980,n:n,1988 to 1976
0548,0548,n:n,1988 to 1976
0548,2929,n:n,1988 to 1976
0561,0561,n:1,1988 to 1976
0564,0564,1:1,1988 to 1976
0566,0488,n:n,1988 to 1976
0566,0546,n:n,1988 to 1976
0566,0565,n:n,1988 to 1976
0566,0980,n:n,1988 to 1976
0567,0488,n:n,1988 to 1976
0567,0565,n:n,1988 to 1976
0567,0980,n:n,1988 to 1976
0567,0546,n:n,1988 to 1976
0571,0571,n:1,1988 to 1976
0572,0572,n:1,1988 to 1976
0573,0573,n:1,1988 to 1976
0574,0574,1:1,1988 to 1976
0575,0575,n:1,1988 to 1976
0576,0576,n:1,1988 to 1976
0577,0577,n:1,1988 to 1976
0579,0579,1:n,1988 to 1976
0579,0571,n:n,1988 to 1976
0579,0572,n:n,1988 to 1976
0579,0573,n:n,1988 to 1976
0579,0575,n:n,1988 to 1976
0579,0576,n:n,1988 to 1976
0579,0577,n:n,1988 to 1976
0581,0583,n:1,1988 to 1976
0582,0586,n:1,1988 to 1976
0583,0586,n:1,1988 to 1976
0589,0586,n:n,1988 to 1976
0589,0589,1:n,1988 to 1976
0589,0980,n:n,1988 to 1976
0591,0585,n:1,1988 to 1976
0592,0585,n:1,1988 to 1976
0593,0585,n:1,1988 to 1976
0599,0585,n:1,1988 to 1976
0611,0611,n:1,1988 to 1976
0612,0611,n:n,1988 to 1976
0612,0612,1:n,1988 to 1976
0615,0615,1:1,1988 to 1976
0616,0616,1:1,1988 to 1976
0619,0619,1:n,1988 to 1976
0619,5169,n:n,1988 to 1976
0621,0582,1:1,1988 to 1976
0622,0620,1:1,1988 to 1976
0711,0711,n:1,1988 to 1976
0712,0711,n:1,1988 to 1976
0713,0712,1:n,1988 to 1976
0713,0980,n:n,1988 to 1976
0713,0711,n:n,1988 to 1976
0721,0721,1:1,1988 to 1976
0722,0722,1:1,1988 to 1976
0723,0723,n:1,1988 to 1976
0724,0723,n:1,1988 to 1976
0725,0819,n:1,1988 to 1976
0731,0730,n:1,1988 to 1976
0732,0730,n:1,1988 to 1976
0733,0730,n:1,1988 to 1976
0739,0730,n:1,1988 to 1976
0741,0741,1:1,1988 to 1976
0743,0742,1:n,1988 to 1976
0743,0980,n:n,1988 to 1976
0751,0751,n:n,1988 to 1976
0751,0561,n:n,1988 to 1976
0752,0752,1:1,1988 to 1976
0811,0811,n:1,1988 to 1976
0812,0812,1:1,1988 to 1976
0813,0813,1:1,1988 to 1976
0814,0814,1:1,1988 to 1976
0815,0819,n:1,1988 to 1976
0819,0819,n:n,1988 to 1976
0819,0811,n:n,1988 to 1976
0910,0914,1:n,1988 to 1976
0910,0980,n:n,1988 to 1976
0910,3345,n:n,1988 to 1976
0910,4232,n:n,1988 to 1976
0910,4233,n:n,1988 to 1976
0910,4234,n:n,1988 to 1976
0910,4235,n:n,1988 to 1976
0910,4236,n:n,1988 to 1976
0910,4239,n:n,1988 to 1976
0910,4241,n:n,1988 to 1976
0910,4242,n:n,1988 to 1976
0910,4243,n:n,1988 to 1976
0910,4244,n:n,1988 to 1976
0910,4245,n:n,1988 to 1976
0910,4249,n:n,1988 to 1976
0981,0149,n:n,1988 to 1976
0981,0488,n:n,1988 to 1976
0981,0565,n:n,1988 to 1976
0981,0980,n:n,1988 to 1976
0981,0583,n:n,1988 to 1976
0981,0371,n:n,1988 to 1976
0981,0372,n:n,1988 to 1976
0984,0980,n:n,1988 to 1976
0984,0488,n:n,1988 to 1976
0985,0488,n:n,1988 to 1976
0985,0980,n:n,1988 to 1976
0986,0811,n:n,1988 to 1976
0986,0980,n:n,1988 to 1976
0986,2929,n:n,1988 to 1976
0989,0149,n:n,1988 to 1976
0989,0371,n:n,1988 to 1976
0989,0372,n:n,1988 to 1976
0989,0483,n:n,1988 to 1976
0989,0980,n:n,1988 to 1976
0989,0488,n:n,1988 to 1976
0989,0730,n:n,1988 to 1976
1110,1110,n:1,1988 to 1976
1121,1121,1:n,1988 to 1976
1121,1124,n:n,1988 to 1976
1122,1122,1:1,1988 to 1976
1123,1123,1:1,1988 to 1976
1124,1124,n:1,1988 to 1976
1211,1211,1:1,1988 to 1976
1212,1212,1:1,1988 to 1976
1213,1213,1:1,1988 to 1976
1221,1221,n:1,1988 to 1976
1222,1222,n:1,1988 to 1976
1223,1221,n:n,1988 to 1976
1223,1222,n:n,1988 to 1976
1223,1223,1:n,1988 to 1976
2111,2111,1:n,1988 to 1976
2111,2112,n:n,1988 to 1976
2112,2112,n:1,1988 to 1976
2114,2114,1:1,1988 to 1976
2116,2116,1:1,1988 to 1976
2117,2117,1:1,1988 to 1976
2119,2119,1:1,1988 to 1976
2121,2120,n:1,1988 to 1976
2122,2120,n:1,1988 to 1976
2123,2120,n:1,1988 to 1976
2221,2221,1:1,1988 to 1976
2222,2222,1:1,1988 to 1976
2223,2223,1:1,1988 to 1976
2224,2224,1:1,1988 to 1976
2225,2225,1:1,1988 to 1976
2226,2226,1:n,1988 to 1976
2226,2238,n:n,1988 to 1976
2227,2238,n:1,1988 to 1976
2231,2231,1:1,1988 to 1976
2232,2232,1:1,1988 to 1976
2234,2234,1:1,1988 to 1976
2235,2235,1:1,1988 to 1976
2237,2238,n:1,1988 to 1976
2239,2239,1:1,1988 to 1976
2311,2320,n:n,1988 to 1976
2311,6210,n:n,1988 to 1976
2312,2320,n:n,1988 to 1976
2312,6210,n:n,1988 to 1976
2313,2320,n:n,1988 to 1976
2313,6210,n:n,1988 to 1976
2321,2331,n:n,1988 to 1976
2321,6210,n:n,1988 to 1976
2321,2320,n:n,1988 to 1976
2322,2332,1:1,1988 to 1976
