code.after,code.before,adjustment
271011,3341,1992 to 1988
271011,3342,1992 to 1988
271011,3343,1992 to 1988
271011,3344,1992 to 1988
271011,3345,1992 to 1988
271012,3341,1992 to 1988
271012,3342,1992 to 1988
271012,3343,1992 to 1988
271012,3344,1992 to 1988
271012,3345,1992 to 1988
271013,3341,1992 to 1988
271013,3342,1992 to 1988
271013,3343,1992 to 1988
271013,3344,1992 to 1988
271013,3345,1992 to 1988
271014,3341,1992 to 1988
271014,3342,1992 to 1988
271014,3343,1992 to 1988
271014,3344,1992 to 1988
271014,3345,1992 to 1988
271015,3341,1992 to 1988
271015,3342,1992 to 1988
271015,3343,1992 to 1988
271015,3344,1992 to 1988
271015,3345,1992 to 1988
271016,3341,1992 to 1988
271016,3342,1992 to 1988
271016,3343,1992 to 1988
271016,3344,1992 to 1988
271016,3345,1992 to 1988
271019,3341,1992 to 1988
271019,3342,1992 to 1988
271019,3343,1992 to 1988
271019,3344,1992 to 1988
271019,3345,1992 to 1988
271021,3341,1992 to 1988
271021,3342,1992 to 1988
271021,3343,1992 to 1988
271021,3344,1992 to 1988
271021,3345,1992 to 1988
271022,3341,1992 to 1988
271022,3342,1992 to 1988
271022,3343,1992 to 1988
271022,3344,1992 to 1988
271022,3345,1992 to 1988
271025,3341,1992 to 1988
271025,3342,1992 to 1988
271025,3343,1992 to 1988
271025,3344,1992 to 1988
271025,3345,1992 to 1988
271026,3341,1992 to 1988
271026,3342,1992 to 1988
271026,3343,1992 to 1988
271026,3344,1992 to 1988
271026,3345,1992 to 1988
271027,3341,1992 to 1988
271027,3342,1992 to 1988
271027,3343,1992 to 1988
271027,3344,1992 to 1988
271027,3345,1992 to 1988
271029,3341,1992 to 1988
271029,3342,1992 to 1988
271029,3343,1992 to 1988
271029,3344,1992 to 1988
271029,3345,1992 to 1988
271091,3341,1992 to 1988
271091,3342,1992 to 1988
271091,3343,1992 to 1988
271091,3344,1992 to 1988
271091,3345,1992 to 1988
271093,3341,1992 to 1988
271093,3342,1992 to 1988
271093,3343,1992 to 1988
271093,3344,1992 to 1988
271093,3345,1992 to 1988
271094,3341,1992 to 1988
271094,3342,1992 to 1988
271094,3343,1992 to 1988
271094,3344,1992 to 1988
271094,3345,1992 to 1988
271095,3341,1992 to 1988
271095,3342,1992 to 1988
271095,3343,1992 to 1988
271095,3344,1992 to 1988
271095,3345,1992 to 1988
271096,3341,1992 to 1988
271096,3342,1992 to 1988
271096,3343,1992 to 1988
271096,3344,1992 to 1988
271096,3345,1992 to 1988
271099,3341,1992 to 1988
271099,3342,1992 to 1988
271099,3343,1992 to 1988
271099,3344,1992 to 1988
