code.after,code.before,Relationship,adjustment
111,11,n:1,1976 to 1962
119,11,n:1,1976 to 1962
121,12,n:1,1976 to 1962
122,12,n:1,1976 to 1962
13,13,1:1,1976 to 1962
141,14,n:1,1976 to 1962
149,14,n:1,1976 to 1962
15,15,1:1,1976 to 1962
19,19,1:1,1976 to 1962
1111,111,n:1,1976 to 1962
1112,111,n:1,1976 to 1962
112,112,1:1,1976 to 1962
113,113,1:1,1976 to 1962
114,114,1:1,1976 to 1962
115,115,1:1,1976 to 1962
116,116,1:1,1976 to 1962
1181,1181,1:1,1976 to 1962
1189,1189,1:1,1976 to 1962
121,121,1:1,1976 to 1962
129,129,1:1,1976 to 1962
141,133,1:n,1976 to 1962
141,3201,n:n,1976 to 1962
142,134,1:1,1976 to 1962
149,138,n:1,1976 to 1962
223,223,1:1,1976 to 1962
2241,221,n:1,1976 to 1962
2242,222,n:1,1976 to 1962
2243,222,n:1,1976 to 1962
2249,221,n:1,1976 to 1962
230,230,1:1,1976 to 1962
240,240,1:1,1976 to 1962
251,250,n:1,1976 to 1962
252,250,n:1,1976 to 1962
341,311,n:1,1976 to 1962
342,311,n:1,1976 to 1962
343,311,n:1,1976 to 1962
344,311,n:1,1976 to 1962
3501,312,n:1,1976 to 1962
3502,312,n:1,1976 to 1962
3503,312,n:1,1976 to 1962
3504,312,n:1,1976 to 1962
360,313,1:1,1976 to 1962
371,3201,n:1,1976 to 1962
372,3202,1:1,1976 to 1962
411,410,n:1,1976 to 1962
412,410,n:1,1976 to 1962
4211,421,n:1,1976 to 1962
4212,421,n:1,1976 to 1962
4221,422,n:1,1976 to 1962
4222,422,n:1,1976 to 1962
430,430,1:1,1976 to 1962
440,440,1:1,1976 to 1962
451,451,1:1,1976 to 1962
452,452,1:1,1976 to 1962
4591,459,n:1,1976 to 1962
4592,459,n:1,1976 to 1962
4599,459,n:1,1976 to 1962
4601,4601,1:1,1976 to 1962
4602,4602,1:1,1976 to 1962
4701,4701,1:1,1976 to 1962
4702,4702,1:1,1976 to 1962
4811,4811,1:1,1976 to 1962
4812,4812,1:1,1976 to 1962
482,482,1:1,1976 to 1962
483,483,1:1,1976 to 1962
4841,4841,1:n,1976 to 1962
4841,4883,1:n,1976 to 1962
4842,4842,1:1,1976 to 1962
488,4881,1:n,1976 to 1962
488,4882,1:n,1976 to 1962
541,541,1:1,1976 to 1962
542,542,1:1,1976 to 1962
544,544,1:1,1976 to 1962
5451,545,n:1,1976 to 1962
5459,545,n:1,1976 to 1962
5461,5461,1:1,1976 to 1962
5462,5462,1:1,1976 to 1962
5481,5481,1:1,1976 to 1962
5482,5482,1:1,1976 to 1962
5484,5484,1:1,1976 to 1962
5488,5483,1:n,1976 to 1962
5488,5489,1:n,1976 to 1962
561,551,1:1,1976 to 1962
5643,5543,1:1,1976 to 1962
5645,5545,1:1,1976 to 1962
5649,5541,1:n,1976 to 1962
5649,5542,1:n,1976 to 1962
5649,5544,1:n,1976 to 1962
5651,5551,1:1,1976 to 1962
5659,5552,n:1,1976 to 1962
5711,511,n:1,1976 to 1962
5712,511,n:1,1976 to 1962
5721,512,n:1,1976 to 1962
5722,512,n:1,1976 to 1962
5729,512,n:1,1976 to 1962
573,513,1:n,1976 to 1962
573,5201,n:n,1976 to 1962
574,514,1:1,1976 to 1962
5751,515,1:1,1976 to 1962
5752,5203,1:1,1976 to 1962
576,5191,1:n,1976 to 1962
576,5202,1:n,1976 to 1962
5771,5171,n:1,1976 to 1962
5772,5171,n:1,1976 to 1962
5773,5171,n:1,1976 to 1962
5774,5172,n:1,1976 to 1962
5775,5172,n:1,1976 to 1962
5779,5172,n:1,1976 to 1962
5792,5192,1:1,1976 to 1962
5793,5193,1:1,1976 to 1962
5794,5194,1:1,1976 to 1962
5795,5195,n:n,1976 to 1962
5795,5201,n:n,1976 to 1962
5796,5195,n:n,1976 to 1962
5796,5201,n:n,1976 to 1962
5797,5195,n:n,1976 to 1962
5797,5201,n:n,1976 to 1962
5798,5199,1:1,1976 to 1962
5799,5209,1:1,1976 to 1962
582,532,1:1,1976 to 1962
583,533,n:1,1976 to 1962
5851,535,n:1,1976 to 1962
5852,535,n:1,1976 to 1962
5853,535,n:1,1976 to 1962
5854,535,n:1,1976 to 1962
5855,535,n:1,1976 to 1962
5857,535,n:1,1976 to 1962
5858,535,n:1,1976 to 1962
5861,5361,1:1,1976 to 1962
5862,5362,1:1,1976 to 1962
5863,5363,1:1,1976 to 1962
5864,5364,1:1,1976 to 1962
5891,539,n:1,1976 to 1962
5899,539,n:1,1976 to 1962
611,611,1:1,1976 to 1962
612,612,1:1,1976 to 1962
615,615,1:1,1976 to 1962
616,616,1:1,1976 to 1962
619,619,1:1,1976 to 1962
6201,6201,1:1,1976 to 1962
6202,6202,1:1,1976 to 1962
7111,711,n:n,1976 to 1962
7111,8191,n:n,1976 to 1962
7112,711,n:n,1976 to 1962
7112,8191,n:n,1976 to 1962
7113,711,n:n,1976 to 1962
7113,8191,n:n,1976 to 1962
712,713,1:n,1976 to 1962
712,9901,1:n,1976 to 1962
721,721,1:1,1976 to 1962
722,722,1:1,1976 to 1962
7231,7231,1:1,1976 to 1962
7232,7232,1:1,1976 to 1962
730,730,1:1,1976 to 1962
741,741,1:1,1976 to 1962
742,742,1:1,1976 to 1962
751,751,1:1,1976 to 1962
7521,7521,1:1,1976 to 1962
7522,7522,1:1,1976 to 1962
7523,7523,1:1,1976 to 1962
7524,7524,1:1,1976 to 1962
7525,7525,1:1,1976 to 1962
7526,7529,n:1,1976 to 1962
7528,7529,n:1,1976 to 1962
8111,8111,1:1,1976 to 1962
8112,8112,1:1,1976 to 1962
8119,8119,1:1,1976 to 1962
8121,812,n:1,1976 to 1962
8122,812,n:1,1976 to 1962
8123,812,n:1,1976 to 1962
8131,813,n:1,1976 to 1962
8132,813,n:1,1976 to 1962
8133,813,n:1,1976 to 1962
8134,813,n:1,1976 to 1962
8135,813,n:1,1976 to 1962
8136,813,n:1,1976 to 1962
8137,813,n:1,1976 to 1962
8138,813,n:1,1976 to 1962
8139,813,n:1,1976 to 1962
8141,814,n:1,1976 to 1962
8142,814,n:1,1976 to 1962
8192,8192,1:1,1976 to 1962
8193,8193,1:1,1976 to 1962
8194,8194,1:1,1976 to 1962
8199,8199,1:1,1976 to 1962
913,913,1:1,1976 to 1962
9141,914,n:1,1976 to 1962
9149,914,n:1,1976 to 1962
9801,138,n:n,1976 to 1962
9801,3201,n:n,1976 to 1962
9801,533,n:n,1976 to 1962
9801,5552,n:n,1976 to 1962
9802,9902,1:1,1976 to 1962
9803,9903,1:1,1976 to 1962
9804,9904,1:1,1976 to 1962
9805,9905,1:1,1976 to 1962
9806,9906,1:1,1976 to 1962
9807,9907,1:1,1976 to 1962
9808,250,n:n,1976 to 1962
9808,29199,n:n,1976 to 1962
9809,9909,1:1,1976 to 1962
11101,11101,1:1,1976 to 1962
11102,11102,1:1,1976 to 1962
11211,11211,1:1,1976 to 1962
11212,11212,1:1,1976 to 1962
11213,11213,1:1,1976 to 1962
1122,1122,1:1,1976 to 1962
1123,1123,1:1,1976 to 1962
11241,1124,n:1,1976 to 1962
11242,1124,n:1,1976 to 1962
11249,1124,n:1,1976 to 1962
12111,1210,n:1,1976 to 1962
12119,1210,n:1,1976 to 1962
12121,1210,n:1,1976 to 1962
12129,1210,n:1,1976 to 1962
1213,1210,n:1,1976 to 1962
1221,1221,1:1,1976 to 1962
1222,1222,1:1,1976 to 1962
1223,1223,1:1,1976 to 1962
2111,2111,1:1,1976 to 1962
2112,2112,1:1,1976 to 1962
2114,2114,1:1,1976 to 1962
2116,2116,1:1,1976 to 1962
2117,2117,1:1,1976 to 1962
21191,2118,1:1,1976 to 1962
21199,2119,1:1,1976 to 1962
21201,2120,n:1,1976 to 1962
21209,2120,n:1,1976 to 1962
2221,2211,1:1,1976 to 1962
2222,2214,1:1,1976 to 1962
2223,2216,1:1,1976 to 1962
2224,2218,n:1,1976 to 1962
2225,2218,n:1,1976 to 1962
2226,2218,n:1,1976 to 1962
2231,2212,1:1,1976 to 1962
2232,2213,1:1,1976 to 1962
2234,2215,1:1,1976 to 1962
2235,2217,1:1,1976 to 1962
2238,2218,n:1,1976 to 1962
2239,2219,1:1,1976 to 1962
23201,2311,n:1,1976 to 1962
23202,2311,n:1,1976 to 1962
23203,2311,n:1,1976 to 1962
23311,2312,n:1,1976 to 1962
23312,2312,n:1,1976 to 1962
23313,2312,n:1,1976 to 1962
23314,2312,n:1,1976 to 1962
23315,2312,n:1,1976 to 1962
23316,2312,n:1,1976 to 1962
23319,2312,n:1,1976 to 1962
23321,2313,1:1,1976 to 1962
23322,2314,1:1,1976 to 1962
24401,24401,1:1,1976 to 1962
24402,24402,1:1,1976 to 1962
24501,2411,n:1,1976 to 1962
24502,2412,1:1,1976 to 1962
24601,2421,1:1,1976 to 1962
24602,63183,n:1,1976 to 1962
24603,2411,n:1,1976 to 1962
24711,24221,1:1,1976 to 1962
24712,24222,1:1,1976 to 1962
24721,24231,1:1,1976 to 1962
24722,24232,1:1,1976 to 1962
2479,2424,1:n,1976 to 1962
2479,2429,1:n,1976 to 1962
2481,2431,1:1,1976 to 1962
24821,24321,1:1,1976 to 1962
24822,24322,1:1,1976 to 1962
24831,24331,1:1,1976 to 1962
24832,24332,1:1,1976 to 1962
2511,2511,1:1,1976 to 1962
2512,2512,1:1,1976 to 1962
2516,2516,1:1,1976 to 1962
25171,25171,1:1,1976 to 1962
25172,25172,1:1,1976 to 1962
25181,25181,1:1,1976 to 1962
25182,25182,1:1,1976 to 1962
25191,2519,1:1,1976 to 1962
25192,2515,1:1,1976 to 1962
2613,2613,1:1,1976 to 1962
26141,2611,1:1,1976 to 1962
26142,2612,1:1,1976 to 1962
2631,2631,1:1,1976 to 1962
2632,2632,1:1,1976 to 1962
2633,2633,1:1,1976 to 1962
2634,2634,1:1,1976 to 1962
2640,2640,n:n,1976 to 1962
2640,2658,n:n,1976 to 1962
26511,2651,n:1,1976 to 1962
26512,2651,n:1,1976 to 1962
26513,2651,n:1,1976 to 1962
26514,2653,1:1,1976 to 1962
2652,2652,1:1,1976 to 1962
2654,2654,1:1,1976 to 1962
2655,2655,1:1,1976 to 1962
26591,2658,n:1,1976 to 1962
26599,2640,n:1,1976 to 1962
26651,26621,n:1,1976 to 1962
26652,26621,n:1,1976 to 1962
26653,26621,n:1,1976 to 1962
26659,26621,n:1,1976 to 1962
26661,26622,n:1,1976 to 1962
26662,26622,n:1,1976 to 1962
26663,26622,n:1,1976 to 1962
26669,26622,n:1,1976 to 1962
26671,26623,n:1,1976 to 1962
26672,26623,n:1,1976 to 1962
26673,26623,n:1,1976 to 1962
26679,26623,n:1,1976 to 1962
26711,26631,1:1,1976 to 1962
26712,26632,1:1,1976 to 1962
26713,26633,1:1,1976 to 1962
26721,2664,n:1,1976 to 1962
26722,2664,n:1,1976 to 1962
2681,2621,1:1,1976 to 1962
2682,2622,1:1,1976 to 1962
2683,2623,1:1,1976 to 1962
26851,26251,1:1,1976 to 1962
26859,26259,1:1,1976 to 1962
26861,2629,1:1,1976 to 1962
26862,2626,1:1,1976 to 1962
2687,2627,1:1,1976 to 1962
26901,26701,1:1,1976 to 1962
26902,26702,1:1,1976 to 1962
2711,2711,1:1,1976 to 1962
2712,2712,1:1,1976 to 1962
27131,2713,n:1,1976 to 1962
27132,2713,n:1,1976 to 1962
2714,2714,1:1,1976 to 1962
27311,27311,1:1,1976 to 1962
27312,27312,1:1,1976 to 1962
27313,27313,1:1,1976 to 1962
27322,27322,1:1,1976 to 1962
27323,27321,n:1,1976 to 1962
27324,27321,n:1,1976 to 1962
2733,2733,1:1,1976 to 1962
2734,2734,1:1,1976 to 1962
2741,2741,1:1,1976 to 1962
2742,2742,1:1,1976 to 1962
2771,2751,1:1,1976 to 1962
27721,27521,1:1,1976 to 1962
27722,27523,1:1,1976 to 1962
27821,27621,1:1,1976 to 1962
27822,27622,1:1,1976 to 1962
27823,27623,1:1,1976 to 1962
27824,27624,1:1,1976 to 1962
2783,2763,1:1,1976 to 1962
2784,2764,1:1,1976 to 1962
27851,27651,1:1,1976 to 1962
27852,27652,1:1,1976 to 1962
27853,27653,1:1,1976 to 1962
27854,27654,1:1,1976 to 1962
27861,27661,1:1,1976 to 1962
27862,27662,1:1,1976 to 1962
27891,27691,1:1,1976 to 1962
27892,27693,1:1,1976 to 1962
27893,27695,1:1,1976 to 1962
27894,27697,1:1,1976 to 1962
27895,27522,1:1,1976 to 1962
27896,2761,1:1,1976 to 1962
27899,27692,1:n,1976 to 1962
27899,27694,1:n,1976 to 1962
27899,27696,1:n,1976 to 1962
27899,27699,1:n,1976 to 1962
2814,2814,1:1,1976 to 1962
2815,2813,n:1,1976 to 1962
2816,2813,n:1,1976 to 1962
28201,2820,n:1,1976 to 1962
28202,2820,n:1,1976 to 1962
28209,2820,n:1,1976 to 1962
2860,2860,1:1,1976 to 1962
28711,28311,1:1,1976 to 1962
28712,28312,1:n,1976 to 1962
28712,68211,n:n,1976 to 1962
28721,28321,1:1,1976 to 1962
28722,28322,1:1,1976 to 1962
28731,2833,1:1,1976 to 1962
28732,51365,n:1,1976 to 1962
2874,2834,1:1,1976 to 1962
2875,2835,1:1,1976 to 1962
2876,2836,1:1,1976 to 1962
2877,2837,1:1,1976 to 1962
28791,28391,1:1,1976 to 1962
28792,28392,1:1,1976 to 1962
28793,28393,1:1,1976 to 1962
28799,28399,1:1,1976 to 1962
2881,28401,1:1,1976 to 1962
28821,28402,1:1,1976 to 1962
28822,28403,1:1,1976 to 1962
28823,28404,1:1,1976 to 1962
28824,28406,1:1,1976 to 1962
28825,28407,1:1,1976 to 1962
28826,28409,1:1,1976 to 1962
28901,28501,1:1,1976 to 1962
28902,28502,1:1,1976 to 1962
29111,29111,1:1,1976 to 1962
29115,29115,1:1,1976 to 1962
29116,29112,1:n,1976 to 1962
29116,29113,1:n,1976 to 1962
29116,29114,1:n,1976 to 1962
29191,29191,1:1,1976 to 1962
29192,29192,1:1,1976 to 1962
29193,29193,1:1,1976 to 1962
29194,29194,1:1,1976 to 1962
29196,29196,1:1,1976 to 1962
29197,29197,1:1,1976 to 1962
29198,29198,1:1,1976 to 1962
29199,29195,1:n,1976 to 1962
29199,29199,n:n,1976 to 1962
2922,2922,1:1,1976 to 1962
2923,2923,1:1,1976 to 1962
2924,2924,1:1,1976 to 1962
2925,2925,1:1,1976 to 1962
29261,29261,1:1,1976 to 1962
29269,29269,1:1,1976 to 1962
29271,29271,1:1,1976 to 1962
29272,29272,1:1,1976 to 1962
29291,29291,1:1,1976 to 1962
