code.after,code.before,Relationship,adjustment
10111,10111,1:1,1996 to 1992
10119,10119,1:1,1996 to 1992
10120,10120,1:1,1996 to 1992
10210,10210,1:1,1996 to 1992
10290,10290,1:1,1996 to 1992
10310,10310,1:1,1996 to 1992
10391,10391,1:1,1996 to 1992
10392,10392,1:1,1996 to 1992
10410,10410,1:1,1996 to 1992
10420,10420,1:1,1996 to 1992
10511,10511,1:1,1996 to 1992
10512,10519,n:1,1996 to 1992
10519,10519,n:1,1996 to 1992
10592,10591,n:1,1996 to 1992
10593,10591,n:1,1996 to 1992
10599,10599,1:1,1996 to 1992
10600,10600,1:1,1996 to 1992
20110,20110,1:1,1996 to 1992
20120,20120,1:1,1996 to 1992
20130,20130,1:1,1996 to 1992
20210,20210,1:1,1996 to 1992
20220,20220,1:1,1996 to 1992
20230,20230,1:1,1996 to 1992
20311,20311,1:1,1996 to 1992
20312,20312,1:1,1996 to 1992
20319,20319,1:1,1996 to 1992
20321,20321,1:1,1996 to 1992
20322,20322,1:1,1996 to 1992
20329,20329,1:1,1996 to 1992
20410,20410,1:1,1996 to 1992
20421,20421,1:1,1996 to 1992
20422,20422,1:1,1996 to 1992
20423,20423,1:1,1996 to 1992
20430,20430,1:1,1996 to 1992
20441,20441,1:1,1996 to 1992
20442,20442,1:1,1996 to 1992
20443,20443,1:1,1996 to 1992
20450,20450,1:1,1996 to 1992
20500,20500,1:1,1996 to 1992
20610,20610,1:1,1996 to 1992
20621,20621,1:1,1996 to 1992
20622,20622,1:1,1996 to 1992
20629,20629,1:1,1996 to 1992
20630,20630,1:1,1996 to 1992
20641,20641,1:1,1996 to 1992
20649,20649,1:1,1996 to 1992
20680,20680,1:1,1996 to 1992
20690,20690,1:1,1996 to 1992
20711,20710,n:1,1996 to 1992
20712,20721,1:1,1996 to 1992
20713,20739,n:1,1996 to 1992
20714,20741,n:n,1996 to 1992
20714,20750,n:n,1996 to 1992
20724,20710,n:1,1996 to 1992
20725,20722,1:1,1996 to 1992
20726,20739,n:1,1996 to 1992
20727,20742,n:n,1996 to 1992
20727,20750,n:n,1996 to 1992
