code.after,code.before,Relationship,adjustment
11,0011,1:1,1976 to 1962
12,0012,1:1,1976 to 1962
13,0013,1:1,1976 to 1962
14,0014,1:1,1976 to 1962
15,0015,1:1,1976 to 1962
19,0019,1:1,1976 to 1962
111,0111,1:1,1976 to 1962
112,0112,1:1,1976 to 1962
113,0113,1:1,1976 to 1962
114,0114,1:1,1976 to 1962
115,0115,1:1,1976 to 1962
116,0116,1:1,1976 to 1962
118,0118,1:1,1976 to 1962
121,0121,1:1,1976 to 1962
129,0129,1:1,1976 to 1962
141,0133,1:n,1976 to 1962
141,0320,n:n,1976 to 1962
142,0134,1:1,1976 to 1962
149,0138,n:1,1976 to 1962
223,0223,1:1,1976 to 1962
224,0221,1:n,1976 to 1962
224,0222,1:n,1976 to 1962
230,0230,1:1,1976 to 1962
240,0240,1:1,1976 to 1962
251,0250,n:1,1976 to 1962
252,0250,n:1,1976 to 1962
341,0311,n:1,1976 to 1962
342,0311,n:1,1976 to 1962
343,0311,n:1,1976 to 1962
344,0311,n:1,1976 to 1962
350,0312,1:1,1976 to 1962
360,0313,1:1,1976 to 1962
371,0320,n:1,1976 to 1962
372,0320,n:1,1976 to 1962
411,0410,n:1,1976 to 1962
412,0410,n:1,1976 to 1962
421,0421,1:1,1976 to 1962
422,0422,1:1,1976 to 1962
430,0430,1:1,1976 to 1962
440,0440,1:1,1976 to 1962
451,0451,1:1,1976 to 1962
452,0452,1:1,1976 to 1962
459,0459,1:1,1976 to 1962
460,0460,1:1,1976 to 1962
470,0470,1:1,1976 to 1962
481,0481,1:1,1976 to 1962
482,0482,1:1,1976 to 1962
483,0483,1:1,1976 to 1962
484,0484,1:n,1976 to 1962
484,0488,n:n,1976 to 1962
488,0488,n:1,1976 to 1962
541,0541,1:1,1976 to 1962
542,0542,1:1,1976 to 1962
544,0544,1:1,1976 to 1962
545,0545,1:1,1976 to 1962
546,0546,1:1,1976 to 1962
548,0548,1:1,1976 to 1962
561,0551,1:1,1976 to 1962
564,0554,1:1,1976 to 1962
565,0555,n:1,1976 to 1962
571,0511,1:1,1976 to 1962
572,0512,1:1,1976 to 1962
573,0513,1:n,1976 to 1962
573,0520,n:n,1976 to 1962
574,0514,1:1,1976 to 1962
575,0515,1:n,1976 to 1962
575,0520,n:n,1976 to 1962
576,0519,n:n,1976 to 1962
576,0520,n:n,1976 to 1962
577,0517,1:1,1976 to 1962
579,0519,n:n,1976 to 1962
579,0520,n:n,1976 to 1962
