,code.before,code.after,Relationship,adjustment
0,113110,113110,1:1,2007 to 2012
1,113210,113210,1:1,2007 to 2012
2,113310,113310,1:1,2007 to 2012
3,114111,114111,1:1,2007 to 2012
4,114112,114112,1:1,2007 to 2012
5,114119,114119,1:1,2007 to 2012
6,114210,114210,1:1,2007 to 2012
7,115111,115111,1:1,2007 to 2012
8,115112,115112,1:1,2007 to 2012
9,115113,115113,1:1,2007 to 2012
10,115114,115114,1:1,2007 to 2012
11,115115,115115,1:1,2007 to 2012
12,115116,115116,1:1,2007 to 2012
13,115210,115210,1:1,2007 to 2012
14,115310,115310,1:1,2007 to 2012
15,211111,211111,1:1,2007 to 2012
16,211112,211112,1:1,2007 to 2012
17,212111,212111,1:1,2007 to 2012
18,212112,212112,1:1,2007 to 2012
19,212113,212113,1:1,2007 to 2012
20,212210,212210,1:1,2007 to 2012
21,212221,212221,1:1,2007 to 2012
22,212222,212222,1:1,2007 to 2012
23,212231,212231,1:1,2007 to 2012
24,212234,212234,1:1,2007 to 2012
25,212291,212291,1:1,2007 to 2012
26,212299,212299,1:1,2007 to 2012
27,212311,212311,1:1,2007 to 2012
28,212312,212312,1:1,2007 to 2012
29,212313,212313,1:1,2007 to 2012
30,212319,212319,1:1,2007 to 2012
31,212321,212321,1:1,2007 to 2012
32,212322,212322,1:1,2007 to 2012
33,212324,212324,1:1,2007 to 2012
34,212325,212325,1:1,2007 to 2012
35,212391,212391,1:1,2007 to 2012
36,212392,212392,1:1,2007 to 2012
37,212393,212393,1:1,2007 to 2012
38,212399,212399,1:1,2007 to 2012
39,213111,213111,1:1,2007 to 2012
40,213112,213112,1:1,2007 to 2012
41,213113,213113,1:1,2007 to 2012
42,213114,213114,1:1,2007 to 2012
43,213115,213115,1:1,2007 to 2012
44,221111,221111,1:1,2007 to 2012
45,221112,221112,1:1,2007 to 2012
46,221113,221113,1:1,2007 to 2012
47,221119,221114,1:n,2007 to 2012
48,221119,221115,1:n,2007 to 2012
49,221119,221116,1:n,2007 to 2012
50,221119,221117,1:n,2007 to 2012
51,221119,221118,1:n,2007 to 2012
52,221121,221121,1:1,2007 to 2012
53,221122,221122,1:1,2007 to 2012
54,221210,221210,1:1,2007 to 2012
55,221310,221310,1:1,2007 to 2012
56,221320,221320,1:1,2007 to 2012
57,221330,221330,1:1,2007 to 2012
58,236115,236115,1:1,2007 to 2012
59,236116,236116,1:1,2007 to 2012
60,236117,236117,1:1,2007 to 2012
61,236118,236118,1:1,2007 to 2012
62,236210,236210,1:1,2007 to 2012
63,236220,236220,1:1,2007 to 2012
64,237110,237110,1:1,2007 to 2012
65,237120,237120,1:1,2007 to 2012
66,237130,237130,1:1,2007 to 2012
67,237210,237210,1:1,2007 to 2012
68,237310,237310,1:1,2007 to 2012
69,237990,237990,1:1,2007 to 2012
70,238110,238110,1:1,2007 to 2012
71,238120,238120,1:1,2007 to 2012
72,238130,238130,1:1,2007 to 2012
73,238140,238140,1:1,2007 to 2012
74,238150,238150,1:1,2007 to 2012
75,238160,238160,1:1,2007 to 2012
76,238170,238170,1:1,2007 to 2012
77,238190,238190,1:n,2007 to 2012
78,238210,238210,1:1,2007 to 2012
79,238220,238220,1:1,2007 to 2012
80,238290,238290,1:1,2007 to 2012
81,238190,238310,n:n,2007 to 2012
82,238310,238310,n:1,2007 to 2012
83,238330,238310,n:n,2007 to 2012
84,238320,238320,1:1,2007 to 2012
85,238330,238330,1:n,2007 to 2012
86,238340,238340,1:1,2007 to 2012
87,238350,238350,1:1,2007 to 2012
88,238390,238390,1:1,2007 to 2012
89,238910,238910,1:1,2007 to 2012
90,238990,238990,1:1,2007 to 2012
91,311111,311111,1:1,2007 to 2012
92,311119,311119,1:1,2007 to 2012
93,311211,311211,1:1,2007 to 2012
94,311212,311212,1:1,2007 to 2012
95,311213,311213,1:1,2007 to 2012
96,311221,311221,1:1,2007 to 2012
97,311222,311224,n:1,2007 to 2012
98,311223,311224,n:1,2007 to 2012
99,311225,311225,1:1,2007 to 2012
100,311230,311230,1:1,2007 to 2012
101,311313,311313,1:1,2007 to 2012
102,311311,311314,n:1,2007 to 2012
103,311312,311314,n:1,2007 to 2012
104,311340,311340,1:1,2007 to 2012
105,311320,311351,1:1,2007 to 2012
106,311330,311352,1:1,2007 to 2012
107,311411,311411,1:1,2007 to 2012
108,311412,311412,1:1,2007 to 2012
109,311421,311421,1:1,2007 to 2012
110,311422,311422,1:1,2007 to 2012
111,311423,311423,1:1,2007 to 2012
112,311511,311511,1:1,2007 to 2012
113,311512,311512,1:1,2007 to 2012
114,311513,311513,1:1,2007 to 2012
115,311514,311514,1:1,2007 to 2012
116,311520,311520,1:1,2007 to 2012
117,311611,311611,1:1,2007 to 2012
118,311612,311612,1:1,2007 to 2012
119,311613,311613,1:1,2007 to 2012
120,311615,311615,1:1,2007 to 2012
121,311711,311710,n:1,2007 to 2012
122,311712,311710,n:1,2007 to 2012
123,311811,311811,1:1,2007 to 2012
124,311812,311812,1:1,2007 to 2012
125,311813,311813,1:1,2007 to 2012
126,311821,311821,1:1,2007 to 2012
127,311822,311824,n:1,2007 to 2012
128,311823,311824,n:1,2007 to 2012
129,311830,311830,1:1,2007 to 2012
130,311911,311911,1:1,2007 to 2012
131,311919,311919,1:1,2007 to 2012
132,311920,311920,1:1,2007 to 2012
133,311930,311930,1:1,2007 to 2012
134,311941,311941,1:1,2007 to 2012
135,311942,311942,1:1,2007 to 2012
136,311991,311991,1:1,2007 to 2012
137,311999,311999,1:1,2007 to 2012
138,312111,312111,1:1,2007 to 2012
139,312112,312112,1:1,2007 to 2012
140,312113,312113,1:1,2007 to 2012
141,312120,312120,1:1,2007 to 2012
142,312130,312130,1:1,2007 to 2012
143,312140,312140,1:1,2007 to 2012
144,312210,312230,n:1,2007 to 2012
145,312221,312230,n:1,2007 to 2012
